2023-04-15 22:58:34,927 INFO botocore.credentials: Found credentials from IAM Role: BaseNotebookInstanceEc2InstanceRole
2023-04-15 22:58:35,082 INFO botocore.credentials: Found credentials from IAM Role: BaseNotebookInstanceEc2InstanceRole
2023-04-15 22:58:35,351 INFO __main__: Data Loaded
2023-04-15 22:58:35,351 INFO __main__: The shape of training set: ((5634, 34), (5634,))
2023-04-15 22:58:35,722 INFO optuna.storages._rdb.storage: A new study created in RDB with name: churn_prediction_xgboost
2023-04-15 23:00:18,842 INFO optuna.study.study: Trial 4 finished with value: 0.9262062638001165 and parameters: {'learning_rate': 0.42968992262971123, 'gamma': 29, 'max_delta_step': 7, 'lambda': 635, 'colsample_bylevel': 0.6192782420835112, 'colsample_bynode': 0.8665991977551415, 'colsample_bytree': 0.9696629412754976, 'subsample': 0.7486186471003289, 'max_depth': 19, 'num_boost_round': 1200, 'num_feat': 80, 'step': 0.2}. Best is trial 4 with value: 0.9262062638001165.
2023-04-15 23:00:23,615 INFO optuna.study.study: Trial 1 finished with value: 0.9506378583470875 and parameters: {'learning_rate': 0.6473473044130558, 'gamma': 54, 'max_delta_step': 8, 'lambda': 315, 'colsample_bylevel': 0.7205757808740592, 'colsample_bynode': 0.36040212035756, 'colsample_bytree': 0.566472232318139, 'subsample': 0.8127605176325483, 'max_depth': 10, 'num_boost_round': 600, 'num_feat': 60, 'step': 0.3}. Best is trial 1 with value: 0.9506378583470875.
2023-04-15 23:00:29,438 INFO optuna.study.study: Trial 0 finished with value: 0.9359274814377173 and parameters: {'learning_rate': 0.2169592312932081, 'gamma': 77, 'max_delta_step': 3, 'lambda': 624, 'colsample_bylevel': 0.7691640559681316, 'colsample_bynode': 0.29430588037607097, 'colsample_bytree': 0.4836326086458179, 'subsample': 0.5840207932341122, 'max_depth': 8, 'num_boost_round': 600, 'num_feat': 70, 'step': 0.3}. Best is trial 1 with value: 0.9506378583470875.
2023-04-15 23:00:41,552 INFO optuna.study.study: Trial 6 finished with value: 0.9426240196894152 and parameters: {'learning_rate': 0.20628098204739811, 'gamma': 79, 'max_delta_step': 1, 'lambda': 514, 'colsample_bylevel': 0.6717774583797331, 'colsample_bynode': 0.42475357058522195, 'colsample_bytree': 0.5072985679902078, 'subsample': 0.734432047666459, 'max_depth': 12, 'num_boost_round': 500, 'num_feat': 60, 'step': 0.1}. Best is trial 1 with value: 0.9506378583470875.
2023-04-15 23:00:43,105 INFO optuna.study.study: Trial 5 finished with value: 0.9239955205445108 and parameters: {'learning_rate': 0.5853370195098725, 'gamma': 36, 'max_delta_step': 7, 'lambda': 541, 'colsample_bylevel': 0.366360268003751, 'colsample_bynode': 0.4501241176283274, 'colsample_bytree': 0.5813187984292258, 'subsample': 0.501467866027495, 'max_depth': 3, 'num_boost_round': 600, 'num_feat': 100, 'step': 0.2}. Best is trial 1 with value: 0.9506378583470875.
2023-04-15 23:00:58,360 INFO optuna.study.study: Trial 3 finished with value: 0.9434921822424924 and parameters: {'learning_rate': 0.3099045616380014, 'gamma': 16, 'max_delta_step': 8, 'lambda': 569, 'colsample_bylevel': 0.3942189217630622, 'colsample_bynode': 0.408401181873133, 'colsample_bytree': 0.6847815519147764, 'subsample': 0.5026116376545371, 'max_depth': 17, 'num_boost_round': 800, 'num_feat': 60, 'step': 0.1}. Best is trial 1 with value: 0.9506378583470875.
2023-04-15 23:01:27,207 INFO optuna.study.study: Trial 7 finished with value: 0.9715977970578322 and parameters: {'learning_rate': 0.21621536649155745, 'gamma': 15, 'max_delta_step': 5, 'lambda': 368, 'colsample_bylevel': 0.9055784289873163, 'colsample_bynode': 0.5893241968331888, 'colsample_bytree': 0.2178641190538053, 'subsample': 0.8264536803186873, 'max_depth': 13, 'num_boost_round': 1500, 'num_feat': 100, 'step': 0.1}. Best is trial 7 with value: 0.9715977970578322.
2023-04-15 23:01:40,636 INFO optuna.study.study: Trial 2 finished with value: 0.9649421560078151 and parameters: {'learning_rate': 0.2587052193594491, 'gamma': 38, 'max_delta_step': 7, 'lambda': 444, 'colsample_bylevel': 0.7445143022219167, 'colsample_bynode': 0.28102746370355647, 'colsample_bytree': 0.33130591244894325, 'subsample': 0.8910602399774309, 'max_depth': 14, 'num_boost_round': 1400, 'num_feat': 100, 'step': 0.3}. Best is trial 7 with value: 0.9715977970578322.
2023-04-15 23:02:09,478 INFO optuna.study.study: Trial 8 finished with value: 0.9616986549022286 and parameters: {'learning_rate': 0.34027690356774765, 'gamma': 80, 'max_delta_step': 4, 'lambda': 495, 'colsample_bylevel': 0.6383923060715572, 'colsample_bynode': 0.3930606660446847, 'colsample_bytree': 0.3772231069065515, 'subsample': 0.955115820139186, 'max_depth': 11, 'num_boost_round': 1400, 'num_feat': 80, 'step': 0.3}. Best is trial 7 with value: 0.9715977970578322.
2023-04-15 23:02:23,925 INFO optuna.study.study: Trial 9 finished with value: 0.966527600013548 and parameters: {'learning_rate': 0.37591492648567104, 'gamma': 24, 'max_delta_step': 1, 'lambda': 415, 'colsample_bylevel': 0.7807184311304369, 'colsample_bynode': 0.8678331987315515, 'colsample_bytree': 0.6875391717984765, 'subsample': 0.9346295843184487, 'max_depth': 9, 'num_boost_round': 1400, 'num_feat': 90, 'step': 0.2}. Best is trial 7 with value: 0.9715977970578322.
2023-04-15 23:02:33,561 INFO optuna.study.study: Trial 10 finished with value: 0.9661052026307599 and parameters: {'learning_rate': 0.5512013862368421, 'gamma': 100, 'max_delta_step': 5, 'lambda': 93, 'colsample_bylevel': 0.4546558608553357, 'colsample_bynode': 0.32450938495766196, 'colsample_bytree': 0.44473476241791166, 'subsample': 0.8488362870717895, 'max_depth': 12, 'num_boost_round': 1300, 'num_feat': 50, 'step': 0.2}. Best is trial 7 with value: 0.9715977970578322.
